,Date,Open,Open_vn30,Open_vnind,High,High_vn30,High_vnind,Low,Low_vn30,Low_vnind,Close,Close_vn30,Close_vnind,Volume,Volume_vn30,Volume_vnind
0,2018-08-13,943.5,948.32,968.47,954.6,959.38,976.73,942.3,941.95,963.41,954.2,959.22,976.66,79327.0,78391340.0,188125966.0
1,2018-08-14,955.5,960.02,978.04,961.8,968.62,981.42,952.1,959.23,974.47,959.3,966.99,979.95,79266.0,55527080.0,159194471.0
2,2018-08-15,958.0,965.6,978.27,962.3,969.8,982.0,946.6,947.78,961.37,946.6,954.62,961.37,89449.0,60069071.0,180896932.0
3,2018-08-16,942.4,947.82,961.37,947.3,948.02,964.28,935.5,932.27,947.09,947.0,944.42,964.28,71410.0,62470193.0,167656731.0
4,2018-08-17,952.2,950.18,964.28,954.6,959.39,975.52,945.0,950.18,964.28,947.0,952.54,968.88,98531.0,42745370.0,147560921.0
5,2018-08-20,946.1,949.23,968.88,951.5,952.16,973.57,942.6,942.33,966.46,945.0,946.83,969.62,88210.0,50713160.0,174115244.0
6,2018-08-21,944.7,945.65,969.62,958.5,953.69,979.21,944.0,944.88,968.45,958.5,953.38,979.21,83718.0,44796910.0,195115769.0
7,2018-08-22,959.5,955.27,979.21,960.6,963.17,986.36,953.6,955.27,979.21,957.0,958.95,982.15,87588.0,73196056.0,195765711.0
8,2018-08-23,957.0,959.63,982.15,963.5,963.91,989.45,955.8,957.98,982.15,960.6,960.95,987.36,84610.0,41501360.0,144608276.0
9,2018-08-24,959.5,960.94,987.36,963.0,963.09,989.21,956.4,955.16,982.88,958.5,960.25,987.32,73122.0,54064130.0,172041839.0
10,2018-08-27,960.8,960.42,987.05,965.2,969.97,994.54,960.7,960.42,987.05,963.2,966.55,991.92,56268.0,64417025.0,187693715.0
11,2018-08-28,965.9,966.55,991.92,967.6,972.4,995.29,964.4,966.34,989.81,965.6,971.15,995.19,54821.0,57605500.0,166931798.0
12,2018-08-29,966.0,971.01,995.19,966.1,972.32,995.19,962.0,964.0,987.47,962.0,967.85,988.17,47353.0,44918907.0,176724791.0
13,2018-08-30,961.1,964.99,988.17,970.5,972.16,995.16,960.6,960.86,983.43,970.5,972.16,995.16,47804.0,51756168.0,172027945.0
14,2018-08-31,970.0,975.43,998.07,973.3,979.11,1003.06,963.7,969.77,989.54,965.7,971.79,989.54,62804.0,56406130.0,181909626.0
15,2018-09-04,964.5,969.23,989.54,965.8,971.3,992.18,956.0,956.66,976.37,956.0,959.3,976.37,64838.0,48592530.0,179095232.0
16,2018-09-05,952.5,951.14,975.94,954.4,953.37,978.78,940.4,938.53,964.8,944.0,941.84,968.44,87717.0,52564307.0,180126106.0
17,2018-09-06,945.3,941.0,968.44,945.8,944.73,970.84,933.4,931.99,957.99,934.7,933.46,958.19,94376.0,44194328.0,156090320.0
18,2018-09-07,935.3,932.12,958.19,946.2,944.66,969.34,930.5,931.19,955.5,943.5,943.97,969.34,99446.0,45010250.0,166920770.0
19,2018-09-10,944.5,945.59,968.9,944.8,948.31,974.59,934.8,942.68,968.19,936.2,945.02,970.55,83775.0,51200082.0,177080210.0
20,2018-09-11,936.8,943.31,970.34,953.1,958.24,985.06,935.9,940.78,967.92,953.1,958.09,985.06,84494.0,47012030.0,187928540.0
21,2018-09-12,955.0,958.91,985.06,962.8,967.78,994.83,950.0,958.91,985.06,950.0,960.3,987.01,103483.0,52692720.0,181317876.0
22,2018-09-13,952.9,958.67,987.01,959.5,963.72,992.96,948.6,955.64,984.92,953.0,955.64,985.06,126627.0,50343200.0,163164285.0
23,2018-09-14,956.0,957.17,987.95,960.9,965.23,995.55,953.5,957.17,987.95,958.5,960.36,991.34,91254.0,57892100.0,176985601.0
24,2018-09-17,955.7,960.33,991.34,956.3,960.94,993.83,949.3,951.38,987.02,950.5,952.63,987.61,75317.0,44195440.0,162123952.0
25,2018-09-18,948.2,953.79,987.61,962.0,957.85,992.57,947.0,945.93,981.89,962.0,957.85,992.57,76287.0,57894990.0,182942801.0
26,2018-09-19,964.3,959.75,993.49,966.9,969.34,1001.83,960.0,959.75,993.49,962.8,962.88,995.53,71919.0,69034630.0,231574656.0
27,2018-09-20,963.8,962.7,995.54,971.0,970.97,1004.74,962.2,962.26,995.54,971.0,970.97,1004.74,52525.0,60472270.0,200116441.0
28,2018-09-21,975.5,971.18,1004.74,980.4,978.52,1009.1,968.6,968.73,1000.39,980.0,978.43,1001.98,76966.0,86664360.0,338616262.0
29,2018-09-24,978.1,974.43,1002.97,984.5,986.3,1011.29,977.3,974.43,1002.97,981.5,985.32,1011.29,69909.0,57599660.0,185340233.0
30,2018-09-25,982.2,985.59,1011.29,983.9,988.23,1014.53,979.5,980.44,1008.67,980.6,983.47,1010.74,62209.0,57308400.0,224331405.0
31,2018-09-26,981.4,985.11,1010.74,988.3,989.54,1014.86,980.1,980.8,1007.44,981.0,984.26,1009.61,64336.0,61184790.0,261422503.0
32,2018-09-27,983.0,984.39,1009.61,987.3,992.1,1017.78,981.0,984.15,1009.61,985.8,987.78,1015.37,77757.0,52858730.0,201196034.0
33,2018-09-28,987.5,989.45,1015.37,990.4,996.6,1020.84,986.3,989.45,1015.37,987.4,993.72,1017.13,60396.0,91751787.0,244269059.0
34,2018-10-01,989.0,994.73,1017.13,991.2,1001.14,1023.87,984.9,990.0,1014.4,984.9,994.34,1017.81,50646.0,82579872.0,234270513.0
35,2018-10-02,984.6,990.41,1012.88,988.4,992.77,1021.51,981.2,984.54,1012.88,984.0,986.11,1016.48,61385.0,178825902.0,340183823.0
36,2018-10-03,984.5,987.88,1018.79,987.2,992.87,1024.59,982.8,986.16,1016.47,986.5,988.79,1020.4,57468.0,56404140.0,170788047.0
37,2018-10-04,987.2,990.6,1020.4,992.0,993.78,1024.68,986.5,989.06,1020.4,992.0,992.23,1023.62,49998.0,70641873.0,193535844.0
38,2018-10-05,990.1,993.61,1023.62,990.8,993.61,1023.62,982.5,981.8,1008.39,982.6,982.41,1008.39,53977.0,135055997.0,280099043.0
39,2018-10-08,979.0,980.75,1008.39,979.5,980.75,1008.39,972.2,968.61,996.12,973.2,970.22,996.12,64737.0,73748300.0,199350466.0
40,2018-10-09,974.3,970.07,996.12,976.3,974.29,1001.87,970.2,966.68,996.12,973.5,968.62,997.99,62027.0,68998100.0,190038324.0
41,2018-10-10,973.1,967.37,996.19,973.9,970.51,999.62,970.2,961.7,991.22,971.6,965.75,993.96,43355.0,67325200.0,190397603.0
42,2018-10-11,959.0,966.27,993.96,959.0,966.27,993.96,920.2,911.69,938.83,920.2,916.82,945.89,129141.0,134146771.0,352713535.0
43,2018-10-12,910.0,920.02,945.89,944.0,942.57,968.76,903.0,908.74,933.35,944.0,942.57,968.76,148760.0,82239102.0,216618893.0
44,2018-10-15,939.5,943.49,970.08,942.0,943.62,970.08,919.0,927.6,951.64,919.0,928.45,951.64,134430.0,40847840.0,143199801.0
45,2018-10-16,925.0,928.55,951.64,937.5,939.1,963.69,924.7,926.96,950.36,935.1,939.0,963.37,121759.0,41901071.0,141076425.0
46,2018-10-17,952.0,939.41,963.37,953.0,949.41,975.27,942.3,939.41,963.37,945.5,945.24,971.6,93709.0,54220331.0,149875314.0
47,2018-10-18,941.0,945.91,971.6,941.8,945.92,971.6,936.5,936.22,962.68,938.2,938.28,964.63,61575.0,42549350.0,130870374.0
48,2018-10-22,935.3,931.69,958.36,937.1,938.02,963.79,920.6,925.29,953.51,921.5,925.58,953.51,102024.0,41680310.0,143519866.0
49,2018-10-23,912.5,922.75,953.51,914.5,922.75,953.51,891.1,893.34,925.29,901.0,905.84,939.68,136594.0,74260779.0,200693391.0
50,2018-10-24,908.9,908.0,939.68,910.6,909.4,939.68,885.0,896.61,925.46,885.0,899.47,925.46,161827.0,48168214.0,134668422.0
51,2018-10-25,861.0,896.5,922.73,887.1,896.5,922.73,856.3,860.13,885.34,887.1,889.73,911.37,180155.0,56721292.0,163361420.0
52,2018-10-26,892.5,888.86,910.17,894.0,897.48,918.16,870.0,881.98,900.82,870.0,883.84,900.82,191779.0,41132381.0,155123810.0
53,2018-10-29,875.0,881.06,900.82,880.5,881.87,900.82,869.0,870.36,884.92,878.0,874.21,888.82,191419.0,40798810.0,136578301.0
54,2018-10-30,875.6,874.43,888.82,881.4,881.83,894.8,873.0,868.29,880.85,876.0,875.69,888.69,159289.0,40132960.0,130111183.0
55,2018-10-31,884.0,874.06,888.69,904.0,898.14,914.76,882.7,874.06,888.69,904.0,898.04,914.76,118224.0,62772159.0,191717127.0
56,2018-11-01,904.5,901.57,914.76,904.9,901.57,918.8,877.5,885.58,905.73,884.0,886.45,906.17,178898.0,66606824.0,142798492.0
57,2018-11-02,893.0,887.72,907.96,910.0,905.55,927.62,891.5,887.72,907.96,906.5,905.55,924.86,175235.0,53475068.0,219958450.0
58,2018-11-05,896.4,903.43,924.86,903.8,903.79,925.53,889.7,894.88,915.77,899.0,903.56,925.53,158585.0,35919350.0,131965681.0
59,2018-11-06,905.5,904.83,925.53,906.3,909.19,931.27,894.0,900.93,921.93,894.0,901.23,922.05,161568.0,35910513.0,133112617.0
60,2018-11-07,896.9,899.61,922.05,899.3,903.15,924.6,886.7,892.79,915.41,894.8,897.84,922.16,162816.0,49785050.0,141673304.0
61,2018-11-08,905.6,899.25,922.16,906.6,909.69,932.86,894.6,899.25,922.16,895.5,899.7,926.05,114981.0,28687220.0,137809979.0
62,2018-11-09,893.2,900.4,926.28,893.8,900.4,926.28,880.0,886.39,914.29,880.0,887.15,914.29,132579.0,35810880.0,145401845.0
63,2018-11-12,878.1,885.65,914.29,887.3,889.06,918.99,875.3,875.29,903.95,885.0,888.69,918.99,127313.0,33433840.0,115507287.0
64,2018-11-13,867.7,888.2,918.12,878.0,888.2,918.12,867.0,874.57,903.48,872.8,877.24,907.21,138814.0,39945888.0,135680891.0
65,2018-11-14,870.3,873.87,905.38,875.7,880.65,910.58,864.9,868.63,898.83,871.0,870.69,900.93,117102.0,48960448.0,140222577.0
66,2018-11-15,870.0,871.55,900.93,873.2,874.87,903.83,862.5,859.86,892.5,864.4,861.84,897.12,55545.0,53610392.0,163078887.0
67,2018-11-16,868.1,864.98,897.15,874.0,874.94,903.21,867.6,863.89,894.14,870.0,871.69,898.19,121319.0,39376500.0,158361970.0
68,2018-11-19,873.1,869.24,898.19,881.0,888.0,916.06,872.5,869.24,898.19,881.0,887.54,916.06,89525.0,44223419.0,144776434.0
69,2018-11-20,878.8,888.76,916.06,883.6,892.62,919.02,876.5,883.8,909.76,881.3,892.32,919.02,117888.0,47076600.0,150166399.0
70,2018-11-21,875.4,893.09,919.02,895.0,895.2,919.4,875.4,880.83,907.47,895.0,894.58,919.05,114488.0,40429590.0,141491319.0
71,2018-11-22,892.8,897.1,922.56,896.7,900.77,926.15,889.7,896.18,922.02,892.0,899.19,924.42,114410.0,46348125.0,149037719.0
72,2018-11-23,892.4,898.9,924.42,892.7,899.37,925.84,886.2,889.78,916.87,886.8,890.32,917.97,98860.0,39503994.0,134472787.0
73,2018-11-26,887.8,890.62,917.97,891.0,896.12,921.96,883.0,886.76,914.43,890.4,895.98,921.03,102089.0,26597190.0,104603890.0
74,2018-11-27,891.0,895.05,921.03,893.8,903.78,930.37,884.4,893.96,921.03,884.4,897.46,923.12,103148.0,33362445.0,143363485.0
75,2018-11-28,886.1,895.3,923.12,891.6,899.65,930.2,884.2,894.27,922.03,890.3,899.44,930.2,105558.0,34206340.0,126592968.0
76,2018-11-29,897.0,901.4,930.2,897.8,910.48,937.75,885.2,898.39,926.79,885.2,898.85,926.79,102906.0,37466890.0,125653743.0
77,2018-11-30,886.2,897.58,926.79,889.8,898.69,928.92,880.5,890.41,921.08,887.5,895.78,926.54,124714.0,53187563.0,153153575.0
78,2018-12-03,896.7,894.79,926.54,915.3,921.31,951.59,896.3,894.79,926.54,915.0,921.16,951.59,105875.0,65687930.0,180680064.0
79,2018-12-04,912.5,921.72,951.59,917.8,929.33,960.44,904.0,920.2,950.89,912.8,927.32,958.84,144157.0,51250680.0,199796289.0
80,2018-12-05,906.2,927.46,958.84,919.0,928.9,960.87,905.5,915.9,946.97,915.5,926.09,957.14,157723.0,61421813.0,179011115.0
81,2018-12-06,912.0,925.68,957.14,914.5,928.64,959.59,902.7,916.63,948.44,909.0,921.47,954.7,143614.0,56821010.0,168479817.0
82,2018-12-07,913.0,922.86,954.82,920.1,933.29,962.39,912.8,922.86,954.82,914.1,929.36,958.59,125888.0,52089020.0,164152618.0
83,2018-12-10,911.0,929.59,958.59,914.4,929.59,958.59,908.6,921.59,951.5,913.9,923.7,955.89,116921.0,47989230.0,184300691.0
84,2018-12-11,916.5,922.82,955.89,916.6,925.43,957.97,910.0,915.68,949.34,914.1,919.23,952.21,117500.0,43186333.0,141711167.0
85,2018-12-12,917.0,922.34,954.58,922.8,927.53,961.28,916.5,922.34,954.58,920.8,927.36,961.28,96037.0,46871787.0,192965979.0
86,2018-12-13,922.6,927.7,961.28,926.0,935.33,966.83,921.2,927.7,960.1,923.9,929.79,960.25,92408.0,49016471.0,167228993.0
87,2018-12-14,921.5,928.9,960.25,922.2,928.9,960.25,913.1,918.19,951.04,913.1,919.22,952.04,82231.0,46903238.0,171736731.0
88,2018-12-17,912.0,918.79,952.04,912.5,918.79,952.04,897.0,901.93,933.65,897.0,902.64,933.65,101062.0,76874518.0,195973155.0
89,2018-12-18,893.0,901.41,933.65,894.6,901.41,933.65,883.8,881.76,917.03,894.6,889.11,927.25,122686.0,56628680.0,173303901.0
90,2018-12-19,895.5,890.68,927.25,896.0,891.69,927.25,878.5,877.63,914.55,884.5,882.12,919.24,122924.0,55481053.0,171261635.0
91,2018-12-20,877.2,882.79,919.24,885.2,883.76,921.79,876.2,876.15,914.18,878.5,880.8,918.24,80638.0,39982130.0,132957800.0
92,2018-12-21,876.6,877.03,918.24,879.5,877.03,918.24,871.1,866.09,907.88,879.5,876.3,912.26,143153.0,42755400.0,189758724.0
93,2018-12-24,879.8,873.09,912.26,881.8,879.74,916.41,874.7,872.99,908.56,877.0,875.44,908.56,108772.0,36255040.0,151730164.0
94,2018-12-25,860.1,873.64,908.56,868.4,873.64,908.56,855.4,850.33,882.17,867.7,864.88,897.94,150895.0,75518760.0,238325500.0
95,2018-12-26,869.8,865.27,897.94,871.9,867.88,899.49,863.0,860.52,890.86,863.0,860.55,891.75,152700.0,29203000.0,132634435.0
96,2018-12-27,879.0,861.02,891.75,879.0,872.71,906.63,867.5,861.02,891.75,867.5,867.35,900.81,139593.0,42415480.0,148859244.0
97,2018-12-28,869.6,865.45,900.81,870.6,868.62,903.79,855.0,863.91,899.47,855.0,866.83,902.13,120906.0,33187475.0,128636715.0
98,2019-01-02,856.0,854.99,892.54,857.1,864.64,900.1,840.0,852.79,891.1,842.7,855.78,891.75,93065.0,31101180.0,100935340.0
99,2019-01-03,845.5,855.66,891.75,845.8,856.21,892.21,820.4,834.81,872.12,824.0,837.52,878.22,186737.0,48945322.0,149538497.0
100,2019-01-04,822.0,838.79,878.22,838.5,842.05,881.48,814.5,821.83,861.85,834.0,838.57,880.9,190101.0,36676690.0,131122711.0
101,2019-01-07,840.5,840.17,880.9,846.1,858.69,896.63,832.4,840.17,880.9,842.0,849.74,889.64,167223.0,31454769.0,123761669.0
102,2019-01-08,841.1,851.41,889.64,843.2,852.92,891.87,835.0,841.86,883.67,840.8,845.4,887.44,164901.0,26583580.0,106581219.0
103,2019-01-09,845.3,845.43,887.44,851.7,856.87,897.25,844.9,845.25,887.44,847.5,853.73,896.99,153409.0,33990810.0,146072172.0
104,2019-01-10,845.2,855.51,896.99,848.5,859.93,899.47,840.5,852.96,895.17,840.5,858.0,898.3,127039.0,32101748.0,124191765.0
105,2019-01-11,845.0,857.95,898.3,849.3,862.88,904.37,841.8,857.67,898.3,845.6,858.73,902.71,113695.0,37490306.0,130561071.0
106,2019-01-14,844.6,860.3,902.71,847.6,860.4,903.83,842.8,854.71,897.18,846.5,858.19,901.8,88977.0,34048990.0,141676449.0
107,2019-01-15,850.0,859.42,901.8,860.0,865.26,909.68,849.3,856.04,898.92,860.0,863.95,909.68,102201.0,29827090.0,125497200.0
108,2019-01-16,861.4,865.1,909.68,863.3,868.41,912.48,858.5,861.18,906.39,860.7,865.1,910.24,91175.0,38612390.0,121392171.0
109,2019-01-17,860.5,864.29,908.7,861.4,864.29,909.06,850.0,857.61,904.13,850.0,858.92,904.13,25125.0,26880930.0,119392528.0
110,2019-01-18,844.9,853.34,901.89,847.0,859.95,906.35,841.0,853.34,900.64,841.0,854.77,902.3,117714.0,61018680.0,138186405.0
